run,sample_idx,topology_perturb,sample_type,solve_time,converged
1,12138,n,raw,0.0039899349212646484,true
1,12150,n,raw,0.0038590431213378906,true
1,12173,n,raw,0.003837108612060547,true
1,12188,n,raw,0.0032758712768554688,true
1,12189,n,raw,0.003995180130004883,true
1,12280,n,raw,0.0032749176025390625,true
1,12353,n,raw,0.003255128860473633,true
1,12398,n,raw,0.0032939910888671875,true
1,12404,n,raw,0.0032949447631835938,true
1,12502,n,raw,0.0032579898834228516,true
1,12632,n,raw,0.0032901763916015625,true
1,12656,n,raw,0.003425121307373047,true
1,12668,n,raw,0.0032968521118164062,true
1,12670,n,raw,0.0032761096954345703,true
1,12695,n,raw,0.0035369396209716797,true
1,12735,n,raw,0.0032901763916015625,true
1,12739,n,raw,0.0032567977905273438,true
1,12772,n,raw,0.003270864486694336,true
1,12798,n,raw,0.0032749176025390625,true
1,12823,n,raw,0.0032699108123779297,true
1,12884,n,raw,0.003298044204711914,true
1,12917,n,raw,0.0032699108123779297,true
1,12928,n,raw,0.0032799243927001953,true
1,12957,n,raw,0.0032880306243896484,true
1,12969,n,raw,0.008481979370117188,true
1,13012,n,raw,0.008563995361328125,true
1,13032,n,raw,0.00851893424987793,true
1,13042,n,raw,0.009959936141967773,true
1,13134,n,raw,0.008493900299072266,true
1,13156,n,raw,0.009936094284057617,true
1,13168,n,raw,0.008478879928588867,true
1,13183,n,raw,0.004560947418212891,true
1,13318,n,raw,0.004119873046875,true
1,13322,n,raw,0.0038819313049316406,true
1,13350,n,raw,0.0034589767456054688,true
1,13371,n,raw,0.00337982177734375,true
1,13410,n,raw,0.003437042236328125,true
1,13465,n,raw,0.0034520626068115234,true
1,13475,n,raw,0.003278970718383789,true
1,13540,n,raw,0.003284931182861328,true
1,13558,n,raw,0.003818988800048828,true
1,13565,n,raw,0.0033080577850341797,true
1,13725,n,raw,0.003305196762084961,true
1,13737,n,raw,0.0032958984375,true
1,13758,n,raw,0.0032639503479003906,true
1,13762,n,raw,0.003282785415649414,true
1,13817,n,raw,0.003292083740234375,true
1,13897,n,raw,0.0032668113708496094,true
1,13923,n,raw,0.0033981800079345703,true
1,13936,n,raw,0.0033249855041503906,true
1,13955,n,raw,0.003432035446166992,true
1,13985,n,raw,0.0032770633697509766,true
1,14047,n,raw,0.0032858848571777344,true
1,14115,n,raw,0.003283977508544922,true
1,14163,n,raw,0.003297090530395508,true
1,14189,n,raw,0.003281831741333008,true
1,14343,n,raw,0.003287076950073242,true
1,14344,n,raw,0.0033168792724609375,true
1,14360,n,raw,0.0032911300659179688,true
1,14493,n,raw,0.003222942352294922,true
1,14552,n,raw,0.0032629966735839844,true
1,14559,n,raw,0.003242969512939453,true
1,14564,n,raw,0.004365205764770508,true
1,14591,n,raw,0.0038008689880371094,true
1,14627,n,raw,0.0032498836517333984,true
1,14632,n,raw,0.5398781299591064,false
1,14648,n,raw,0.0032701492309570312,true
1,14649,n,raw,0.003376007080078125,true
1,14658,n,raw,0.8704190254211426,false
1,14675,n,raw,0.0038230419158935547,true
1,14698,n,raw,0.003219127655029297,true
1,14718,n,raw,0.003239870071411133,true
1,14729,n,raw,0.003222942352294922,true
1,14753,n,raw,0.0032401084899902344,true
1,14769,n,raw,0.0033791065216064453,true
1,14782,n,raw,0.03778195381164551,true
1,14785,n,raw,0.0037691593170166016,true
1,14861,n,raw,0.00321197509765625,true
1,14869,n,raw,0.00321197509765625,true
1,15019,n,raw,0.0032291412353515625,true
1,15064,n,raw,0.0033600330352783203,true
1,15140,n,raw,0.003242015838623047,true
1,15141,n,raw,0.003759145736694336,true
1,15184,n,raw,0.0032320022583007812,true
1,15249,n,raw,0.003265857696533203,true
1,15264,n,raw,0.0033791065216064453,true
1,15282,n,raw,0.003276824951171875,true
1,15313,n,raw,0.0032701492309570312,true
1,15357,n,raw,0.0032529830932617188,true
1,15366,n,raw,0.0032639503479003906,true
1,15369,n,raw,0.0032520294189453125,true
1,15385,n,raw,0.003264904022216797,true
1,15391,n,raw,0.0032958984375,true
1,15398,n,raw,0.003290891647338867,true
1,15401,n,raw,0.0034189224243164062,true
1,15406,n,raw,0.003281116485595703,true
1,15417,n,raw,0.0032567977905273438,true
1,15440,n,raw,0.0033719539642333984,true
1,15464,n,raw,0.0032439231872558594,true
1,15552,n,raw,0.0032618045806884766,true
