topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,9743,raw,1.2732563163808663e-06,1.2732563163808663e-06
n,1,9748,raw,1.125653966482787e-06,1.125653966482787e-06
n,1,9764,raw,9.858426892606076e-07,9.858426892606076e-07
n,1,9775,raw,9.975872217182769e-07,9.975872217182769e-07
n,1,9800,raw,1.1066796332670492e-06,1.1066796332670492e-06
n,1,9807,raw,1.1764321925511467e-06,1.1764321925511467e-06
n,1,9900,raw,1.1708328884196817e-06,1.1708328884196817e-06
n,1,9952,raw,1.2596779015439097e-06,1.2596779015439097e-06
n,1,9996,raw,8.91688557658199e-07,8.91688557658199e-07
n,1,9997,raw,1.178968091153365e-06,1.178968091153365e-06
n,1,10064,raw,1.1528796903803595e-06,1.1528796903803595e-06
n,1,10080,raw,8.802172715149936e-07,8.802172715149936e-07
n,1,10094,raw,9.526722237751528e-07,9.526722237751528e-07
n,1,10097,raw,1.0166876336370478e-06,1.0166876336370478e-06
n,1,10110,raw,9.072498983186961e-07,9.072498983186961e-07
n,1,10130,raw,1.0951802096315078e-06,1.0951802096315078e-06
n,1,10130,nose,1.2023643876091228e-06,1.2023643876091228e-06
n,1,10138,raw,1.0577645070952713e-06,1.0577645070952713e-06
n,1,10140,raw,1.1694783097482286e-06,1.1694783097482286e-06
n,1,10140,nose,1.1843778793263482e-06,1.1843778793263482e-06
n,1,10144,raw,8.963414757090504e-07,8.963414757090504e-07
n,1,10153,raw,9.211135534314963e-07,9.211135534314963e-07
n,1,10217,raw,1.2561597486637766e-06,1.2561597486637766e-06
n,1,10220,raw,9.891421086649643e-07,9.891421086649643e-07
n,1,10239,raw,9.941319376594038e-07,9.941319376594038e-07
n,1,10239,nose,1.3542623946705135e-06,1.3542623946705135e-06
n,1,10251,raw,1.0510484571568668e-06,1.0510484571568668e-06
n,1,10286,raw,1.0599698043733952e-06,1.0599698043733952e-06
n,1,10288,raw,1.1631403822320863e-06,1.1631403822320863e-06
n,1,10295,raw,1.0635695844030124e-06,1.0635695844030124e-06
n,1,10344,raw,1.0943366532956134e-06,1.0943366532956134e-06
